month,gmv_net_ret_m
2023-11-30,0.015426476960701917
2023-12-31,0.009174130583771626
2024-01-31,0.01825884473952094
2024-02-29,0.04877343905877635
2024-03-31,0.017628217069570847
2024-04-30,0.23588114698559573
2024-05-31,0.022772038187226208
2024-06-30,0.029800515338802364
2024-07-31,0.030563814382080095
2024-08-31,0.03327413909118047
2024-09-30,0.03481029934802434
2024-10-31,0.011223930433430809
2024-11-30,0.00788892227861434
2024-12-31,0.031149576094539694
2025-01-31,-0.0036445576954202974
2025-02-28,0.003031156391426576
2025-03-31,0.0721444715720214
2025-04-30,0.03238656722590309
2025-05-31,0.08956104729570287
2025-06-30,0.018846241647548143
2025-07-31,0.05361781275771077
2025-08-31,0.12923148724242017
2025-09-30,0.09658711398055524
2025-10-31,0.022841843178153808
